,Hedonic Tones
"FRUITY,CITRUS",2.72
LEMON,2.5
GRAPEFRUIT,1.95
ORANGE,2.86
"FRUITY,OTHER THAN CITRUS",2.23
PINEAPPLE,2.59
GRAPE JUICE,2.07
STRAWBERRY,2.93
"APPLE, FRUIT",2.61
PEAR,2.26
"CANTALOUPE, HONEYDEW MELON",2.41
PEACH FRUIT,2.67
BANANA,2
FLORAL,2.79
ROSE,3.08
VIOLETS,2.68
LAVENDER,2.25
COLOGNE,2.16
MUSK,0.21
PERFUMERY,1.96
FRAGRANT,2.52
AROMATIC,1.41
HONEY,2.08
"CHERRY, BERRY",2.55
ALMOND,2.01
NAIL POLISH REMOVER,-0.81
"NUTTY, WALNUT ETC.",1.92
SPICY,1.99
CLOVE,1.67
CINNAMON,2.54
LAUREL LEAVES,0.97
TEA LEAVES,1.4
SEASONING FOR MEAT,1.27
BLACK PEPPER,0.19
GREEN PEPPER,1.39
DILL,0.87
CARAWAY,1.06
"OAK WOOD,COGNAC",1.23
"WOODY, RESINOUS",0.94
CEDARWOOD,2.11
MOTHBALLS,-1.25
"MINTY, PEPPERMINT",2.5
CAMPHOR,-0.55
EUCALYPTUS,0.99
CHOCOLATE,2.78
VANILLA,2.57
SWEET,2.03
MAPLE SYRUP,2.26
CARAMEL,2.32
MALTY,1.05
RAISINS,1.56
MOLASSES,1
COCONUT,1.93
"ANISE, LICORICE",1.21
ALCOHOLIC,-0.47
"ETHERISH, ANAESTHETIC",-1.54
CLEANING FLUID,-1.69
"GASOLINE, SOLVENT",-1.16
"TURPENTINE, PINE OIL",-0.73
GERANIUM LEAVES,0.57
CELERY,1.36
FRESH GREEN VEGETABLES,2.19
CRUSHED WEEDS,-0.21
CRUSHED GRASS,1.34
"HERBAL, GREEN,CUTGRASS",2.14
RAW CUCUMBER,1.3
HAY,1.31
GRAINY (AS GRAIN),0.63
YEASTY,-0.07
BAKERY (FRESH BREAD),3.53
SOUR MILK,-2.91
"FERMENTED, ROTTEN FRUIT",-2.76
BEERY,-0.14
SOAPY,0.96
LEATHER,1.3
CARDBOARD,-0.54
ROPE,-0.16
WET PAPER,-0.94
"WET WOOL,WET DOG",-2.28
DIRTY LINEN,-2.55
STALE,-2.04
"MUSTY, EARTHY, MOLDY",-1.94
RAW POTATO,0.26
MOUSE,-2.2
MUSHROOM,0.52
PEANUT BUTTER,1.99
BEANY,0.54
"EGGY, FRESH EGGS",0.45
"BARK,BIRCHBARK",1.18
CORK,0.19
"BURNT,SMOKY",-1.53
FRESH TOBACCO SMOKE,-0.66
INCENSE,1.01
COFFEE,2.33
STALE TOBACCO SMOKE,-2.83
BURNT PAPER,-1.47
BURNT MILK,-2.19
BURNT RUBBER,-3.01
TAR,-1.63
CREOSOTE,-1.35
"DISINFECTANT, CARBOLIC",-1.6
MEDICINAL,-0.89
CHEMICAL,-1.64
BITTER,-1.38
"SHARP, PUNGENT, ACID",-2.34
"SOUR, VINEGAR",-1.26
SAUERKRAUT,-0.6
AMMONIA,-2.47
URINE,-3.34
CAT URINE,-3.64
FISHY,-1.98
"KIPPERY,SMOKED FISH",-0.69
"SEMINAL, SPERM-LIKE",-1.04
NEW RUBBER,-0.96
SOOTY,-1.69
BURNT CANDLE,-0.08
KEROSENE,-1.67
"OILY, FATTY",-1.41
"BUTTERY, FRESH BUTTER",2.04
PAINT,-0.75
VARNISH,-0.85
POPCORN,2.47
FRIED CHICKEN,2.53
"MEATY ( COOKED,GOOD)",2.34
SOUPY,1.13
COOKED VEGETABLES,1.58
RANCID,-3.15
SWEATY,-2.53
CHEESY,1.02
HOUSEHOLD GAS,-2.3
SULFIDIC,-2.45
"GARLIC, ONION",-0.17
METALLIC,-0.94
"BLOOD, RAW MEAT",-1.64
ANIMAL,-1.13
SEWER,-3.68
"PUTRID, FOUL, DECAYED",-3.74
"FECAL, LIKE MANURE",-3.36
CADAVEROUS,-3.75
SICKENING,-3.34
"DRY, POWDERY",-0.07
CHALKY,-0.85
LIGHT,0.91
HEAVY,-0.79
"COOL,COOLING",1.53
WARM,0.78
